Student_ID,Gender,Age,Study_Hours,Attendance,Math_Score,Science_Score,English_Score,Previous_Score,Final_Score,Performance_Category,Average_Subject_Score,Attendance_Category,Study_Level
69,Female,20,6.3,89.9,64,43,65,36,58.22,Average,57.33,Good,High
70,Female,22,7.1,82.9,55,46,89,63,61.4,Good,63.33,Good,High
71,Female,21,8.1,92.5,56,45,57,99,69.61,Good,52.67,Excellent,Very High
72,Female,20,5.5,93.4,66,80,66,60,69.81,Good,70.67,Excellent,High
73,Male,22,1.8,85.4,67,50,96,44,72.97,Good,71.0,Good,Low
74,Female,19,5.8,91.9,50,35,44,87,56.6,Average,43.0,Excellent,High
75,Male,20,6.3,84.9,72,97,88,93,86.32,Excellent,85.67,Good,High
76,Female,21,7.7,84.0,48,55,86,56,64.67,Good,63.0,Good,High
77,Female,18,4.9,80.9,70,64,54,85,68.42,Good,62.67,Good,Moderate
78,Female,20,2.1,87.6,57,47,66,82,52.35,Average,56.67,Good,Moderate
79,Male,18,3.6,57.9,100,68,48,55,68.57,Good,72.0,Low,Moderate
80,Female,22,4.3,94.0,36,38,84,56,57.63,Average,52.67,Excellent,Moderate
81,Male,19,6.8,93.6,99,62,62,64,76.56,Good,74.33,Excellent,High
82,Female,17,6.1,51.5,86,93,87,59,74.93,Good,88.67,Low,High
83,Male,19,4.2,91.3,96,61,58,62,72.87,Good,71.67,Excellent,Moderate
84,Female,20,9.9,56.4,57,59,56,99,70.36,Good,57.33,Low,Very High
85,Male,18,6.5,66.8,60,37,64,79,62.87,Good,53.67,Moderate,High
86,Male,18,3.1,87.2,89,59,97,41,74.97,Good,81.67,Good,Moderate
87,Female,21,1.9,58.0,40,54,38,83,51.96,Average,44.0,Low,Low
88,Male,18,2.4,90.9,69,68,93,43,69.42,Good,76.67,Excellent,Moderate
89,Female,21,3.2,91.6,56,60,42,70,51.14,Average,52.67,Excellent,Moderate
90,Female,22,2.4,75.4,77,39,46,35,50.59,Average,54.0,Good,Moderate
91,Female,17,2.7,50.3,49,95,65,44,68.48,Good,69.67,Low,Moderate
92,Female,20,3.6,64.4,94,43,68,70,66.69,Good,68.33,Moderate,Moderate
93,Female,21,2.6,80.8,46,84,83,80,67.81,Good,71.0,Good,Moderate
94,Female,17,9.1,99.1,83,40,91,66,72.96,Good,71.33,Excellent,Very High
95,Female,18,1.7,81.6,76,94,60,66,81.53,Excellent,76.67,Good,Low
96,Female,18,5.7,63.0,72,78,52,40,71.15,Good,67.33,Moderate,High
97,Female,17,4.7,81.7,79,45,72,82,76.95,Good,65.33,Good,Moderate
98,Female,18,9.8,77.0,69,100,84,72,81.66,Excellent,84.33,Good,Very High
99,Female,22,2.0,89.0,64,81,42,51,64.03,Good,62.33,Good,Low
100,Male,22,4.6,55.3,64,37,75,61,51.31,Average,58.67,Low,Moderate
101,Male,17,9.7,88.1,40,64,40,88,64.37,Good,48.0,Good,Very High
102,Female,21,8.8,77.1,41,55,78,84,57.49,Average,58.0,Good,Very High
103,Female,21,8.4,98.1,86,62,98,69,82.68,Excellent,82.0,Excellent,Very High
104,Female,17,3.3,67.1,48,96,63,59,60.87,Good,69.0,Moderate,Moderate
105,Female,21,2.5,81.6,49,67,62,62,57.1,Average,59.33,Good,Moderate
106,Female,21,7.0,96.6,55,69,45,49,57.46,Average,56.33,Excellent,High
107,Female,22,9.4,55.1,69,86,99,38,73.58,Good,84.67,Low,Very High
108,Female,21,6.0,96.9,100,68,53,61,74.23,Good,73.67,Excellent,High
109,Female,19,6.1,84.4,36,75,43,60,53.45,Average,51.33,Good,High
110,Male,20,3.5,53.4,69,85,61,53,69.87,Good,71.67,Low,Moderate
111,Female,18,7.9,65.0,54,81,68,51,61.18,Good,67.67,Moderate,High
112,Male,19,2.7,85.4,44,92,78,77,70.27,Good,71.33,Good,Moderate
113,Female,21,3.9,53.4,59,91,49,75,69.91,Good,66.33,Low,Moderate
114,Female,22,4.8,79.1,100,57,85,76,77.11,Good,80.67,Good,Moderate
115,Male,17,5.6,67.3,59,82,47,84,62.66,Good,62.67,Moderate,High
116,Female,21,3.2,81.0,88,56,83,74,73.18,Good,75.67,Good,Moderate
117,Male,22,2.0,52.3,67,51,90,73,69.1,Good,69.33,Low,Low
118,Female,20,6.5,93.6,70,45,85,57,68.34,Good,66.67,Excellent,High
119,Female,21,3.6,98.7,48,49,71,86,59.0,Average,56.0,Excellent,Moderate
120,Male,17,6.2,98.4,99,69,51,81,80.13,Excellent,73.0,Excellent,High
121,Female,22,2.4,87.5,88,67,92,97,76.79,Good,82.33,Good,Moderate
122,Male,22,5.3,56.5,86,50,63,77,69.63,Good,66.33,Low,High
123,Female,22,5.8,87.9,37,68,67,82,63.02,Good,57.33,Good,High
124,Male,20,1.5,51.2,75,100,94,68,77.74,Good,89.67,Low,Low
125,Male,21,4.0,51.1,40,74,89,74,59.46,Average,67.67,Low,Moderate
126,Female,20,2.2,66.2,59,62,44,95,55.67,Average,55.0,Moderate,Moderate
127,Female,18,1.6,74.4,47,81,81,84,69.33,Good,69.67,Moderate,Low
128,Male,18,9.9,88.5,42,73,57,96,70.57,Good,57.33,Good,Very High
129,Female,21,3.9,84.2,55,54,55,92,58.02,Average,54.67,Good,Moderate
130,Female,20,8.3,72.3,59,35,47,67,55.76,Average,47.0,Moderate,Very High
131,Female,17,3.3,63.7,79,97,67,50,66.02,Good,81.0,Moderate,Moderate
132,Male,22,7.1,99.9,94,38,58,82,68.7,Good,63.33,Excellent,High
133,Male,22,7.8,71.3,46,92,45,44,61.11,Good,61.0,Moderate,High
134,Male,21,6.4,72.6,66,59,51,72,58.77,Average,58.67,Moderate,High
135,Male,18,5.2,58.2,47,81,81,53,60.52,Good,69.67,Low,High
136,Male,18,4.7,89.7,65,72,59,70,64.95,Good,65.33,Good,Moderate
137,Male,22,4.1,84.7,54,49,55,93,60.44,Good,52.67,Good,Moderate
138,Male,21,9.4,61.0,52,97,46,97,68.8,Good,65.0,Moderate,Very High
139,Male,20,8.5,54.1,94,55,71,80,64.86,Good,73.33,Low,Very High
140,Male,18,9.7,84.0,97,91,76,37,75.52,Good,88.0,Good,Very High
141,Female,20,2.1,82.7,40,87,51,99,60.74,Good,59.33,Good,Moderate
142,Male,18,7.6,63.7,66,80,82,42,72.4,Good,76.0,Moderate,High
143,Female,18,9.4,97.5,77,48,62,85,59.46,Average,62.33,Excellent,Very High
144,Female,19,2.6,57.6,36,51,75,40,47.61,Average,54.0,Low,Moderate
145,Female,18,1.6,71.6,94,73,81,73,75.81,Good,82.67,Moderate,Low
146,Male,17,7.7,97.2,57,43,52,94,66.77,Good,50.67,Excellent,High
147,Male,21,6.2,71.0,65,40,47,62,53.76,Average,50.67,Moderate,High
148,Male,21,8.6,81.9,39,57,47,88,58.17,Average,47.67,Good,Very High
149,Male,20,2.3,69.9,68,93,65,71,72.46,Good,75.33,Moderate,Moderate
150,Female,18,8.2,63.7,44,80,36,43,46.65,Average,53.33,Moderate,Very High
151,Male,17,2.8,99.2,36,72,50,90,62.19,Good,52.67,Excellent,Moderate
152,Male,20,2.5,70.5,45,48,43,93,52.56,Average,45.33,Moderate,Moderate
153,Male,19,2.5,94.7,84,96,72,36,79.95,Good,84.0,Excellent,Moderate
154,Male,20,8.3,61.5,65,69,88,95,89.85,Excellent,74.0,Moderate,Very High
155,Male,20,7.0,60.7,90,53,90,92,68.68,Good,77.67,Moderate,High
156,Female,18,5.7,51.6,43,64,79,94,69.01,Good,62.0,Low,High
157,Male,19,4.2,82.6,55,59,68,74,61.46,Good,60.67,Good,Moderate
158,Female,20,8.9,68.4,62,74,43,70,65.14,Good,59.67,Moderate,Very High
159,Male,17,4.5,93.2,96,48,42,71,67.69,Good,62.0,Excellent,Moderate
160,Female,17,8.3,73.7,41,60,41,52,50.52,Average,47.33,Moderate,Very High
161,Male,21,5.0,98.4,50,56,70,97,62.76,Good,58.67,Excellent,Moderate
162,Male,19,4.4,59.3,38,82,52,56,57.35,Average,57.33,Low,Moderate
163,Female,19,5.2,93.4,38,85,37,45,50.42,Average,53.33,Excellent,High
164,Female,21,3.7,88.8,74,37,62,92,66.78,Good,57.67,Good,Moderate
165,Female,20,7.7,88.5,51,76,78,91,70.04,Good,68.33,Good,High
166,Male,19,5.5,92.2,86,53,55,38,61.3,Good,64.67,Excellent,High
167,Female,17,3.1,88.1,86,62,62,41,66.36,Good,70.0,Good,Moderate
168,Male,17,9.1,81.3,70,79,88,95,85.56,Excellent,79.0,Good,Very High
169,Male,18,4.5,56.6,72,97,88,88,78.02,Good,85.67,Low,Moderate
170,Female,19,5.9,51.6,84,53,99,35,71.29,Good,78.67,Low,High
171,Female,20,9.2,96.0,97,81,55,89,80.53,Excellent,77.67,Excellent,Very High
172,Male,21,6.6,80.8,97,48,47,37,68.61,Good,64.0,Good,High
173,Male,21,2.1,89.8,96,72,91,72,84.97,Excellent,86.33,Good,Moderate
174,Female,20,9.5,74.1,41,87,83,35,73.7,Good,70.33,Moderate,Very High
175,Female,22,6.6,55.9,61,95,88,72,75.04,Good,81.33,Low,High
176,Female,18,4.0,56.3,48,70,44,63,57.3,Average,54.0,Low,Moderate
177,Male,21,2.3,84.3,39,74,87,39,61.47,Good,66.67,Good,Moderate
178,Male,19,8.1,71.5,89,64,78,55,80.18,Excellent,77.0,Moderate,Very High
179,Male,18,6.6,60.0,36,43,81,81,52.27,Average,53.33,Low,High
180,Male,19,5.8,74.6,96,98,87,69,90.94,Excellent,93.67,Moderate,High
181,Male,17,9.0,53.2,55,67,80,35,61.79,Good,67.33,Low,Very High
182,Male,18,8.1,79.1,55,86,47,46,63.7,Good,62.67,Good,Very High
183,Female,21,2.4,63.4,44,48,71,94,56.71,Average,54.33,Moderate,Moderate
184,Male,18,3.8,89.9,92,87,58,61,78.95,Good,79.0,Good,Moderate
185,Male,18,3.2,65.5,73,93,36,90,69.04,Good,67.33,Moderate,Moderate
186,Male,18,7.7,72.8,39,75,48,57,57.74,Average,54.0,Moderate,High
187,Female,22,1.3,50.6,99,42,44,59,66.92,Good,61.67,Low,Low
188,Male,18,6.1,53.6,47,36,69,55,54.75,Average,50.67,Low,High
189,Male,19,7.9,69.6,87,75,59,95,80.54,Excellent,73.67,Moderate,High
190,Female,17,8.9,74.0,79,89,37,97,73.08,Good,68.33,Moderate,Very High
191,Male,20,4.1,80.0,66,50,51,86,57.59,Average,55.67,Good,Moderate
192,Male,18,8.4,64.6,70,96,46,59,74.58,Good,70.67,Moderate,Very High
193,Male,21,2.0,84.7,94,82,88,89,88.17,Excellent,88.0,Good,Low
194,Male,18,8.6,93.0,45,64,58,80,68.59,Good,55.67,Excellent,Very High
195,Male,21,2.1,89.0,97,46,63,66,67.33,Good,68.67,Good,Moderate
196,Female,19,4.6,52.0,55,69,77,89,64.63,Good,67.0,Low,Moderate
197,Female,21,8.2,74.0,86,45,59,39,57.69,Average,63.33,Moderate,Very High
198,Female,20,2.3,55.2,89,98,94,70,82.1,Excellent,93.67,Low,Moderate
199,Male,17,3.1,62.1,60,84,99,83,78.85,Good,81.0,Moderate,Moderate
200,Male,21,7.5,99.3,68,55,62,92,67.56,Good,61.67,Excellent,High
201,Male,21,7.5,57.1,86,82,50,73,75.62,Good,72.67,Low,High
202,Female,17,6.8,74.9,86,54,81,95,75.13,Good,73.67,Moderate,High
203,Male,20,7.2,80.9,63,78,92,43,74.09,Good,77.67,Good,High
204,Male,18,5.9,85.1,72,67,61,40,61.42,Good,66.67,Good,High
205,Female,21,3.3,78.0,76,95,87,69,80.64,Excellent,86.0,Good,Moderate
206,Male,17,4.1,50.5,55,43,76,73,44.89,Average,58.0,Low,Moderate
207,Female,19,2.6,66.3,76,69,93,56,71.43,Good,79.33,Moderate,Moderate
208,Female,17,9.2,75.9,47,99,81,75,68.22,Good,75.67,Good,Very High
209,Female,19,6.3,54.4,98,42,68,39,70.81,Good,69.33,Low,High
210,Male,20,4.6,67.5,51,79,71,76,69.01,Good,67.0,Moderate,Moderate
211,Male,18,5.2,51.7,43,81,40,64,57.19,Average,54.67,Low,High
212,Male,17,9.5,53.9,75,74,41,91,74.52,Good,63.33,Low,Very High
213,Male,22,2.4,69.8,35,88,59,63,54.98,Average,60.67,Moderate,Moderate
214,Male,21,6.3,56.6,36,80,67,71,67.1,Good,61.0,Low,High
215,Male,20,5.6,78.4,94,81,89,47,85.32,Excellent,88.0,Good,High
216,Male,17,6.5,84.5,82,49,92,66,72.6,Good,74.33,Good,High
217,Female,21,1.2,90.0,63,53,41,80,62.49,Good,52.33,Good,Low
218,Male,17,8.8,60.0,44,60,91,57,58.07,Average,65.0,Low,Very High
219,Female,19,9.4,58.4,92,86,46,79,73.44,Good,74.67,Low,Very High
220,Male,17,6.1,55.2,94,56,50,51,63.44,Good,66.67,Low,High
221,Male,22,7.3,81.8,55,55,77,100,65.36,Good,62.33,Good,High
222,Male,17,9.3,85.3,62,85,41,40,61.0,Good,62.67,Good,Very High
223,Female,17,7.4,51.6,68,72,85,52,74.35,Good,75.0,Low,High
224,Female,22,2.4,96.8,42,54,66,56,54.74,Average,54.0,Excellent,Moderate
225,Female,20,6.2,52.6,93,63,42,67,68.52,Good,66.0,Low,High
226,Female,17,6.5,77.1,83,85,79,64,77.03,Good,82.33,Good,High
227,Male,22,4.8,85.5,51,38,93,66,53.67,Average,60.67,Good,Moderate
228,Female,21,7.6,93.5,94,89,38,76,79.88,Good,73.67,Excellent,High
229,Male,19,9.4,85.7,79,62,63,44,61.82,Good,68.0,Good,Very High
230,Male,19,9.3,90.1,66,38,63,70,62.29,Good,55.67,Excellent,Very High
231,Female,17,5.1,67.0,78,56,62,68,60.38,Good,65.33,Moderate,High
232,Female,20,2.0,90.7,99,79,78,62,89.27,Excellent,85.33,Excellent,Low
233,Female,20,9.9,54.0,42,100,38,45,63.7,Good,60.0,Low,Very High
234,Female,21,8.6,94.7,77,68,43,73,70.19,Good,62.67,Excellent,Very High
235,Female,17,2.1,77.4,35,89,39,81,62.49,Good,54.33,Good,Moderate
236,Female,19,9.3,90.9,85,35,90,53,67.9,Good,70.0,Excellent,Very High
237,Female,20,8.8,72.6,58,72,84,49,70.93,Good,71.33,Moderate,Very High
238,Female,17,5.7,82.2,58,40,49,62,55.27,Average,49.0,Good,High
239,Male,20,6.3,76.3,51,59,66,58,60.89,Good,58.67,Good,High
240,Female,22,4.6,86.6,39,51,62,43,57.2,Average,50.67,Good,Moderate
241,Female,20,1.5,54.1,54,95,56,81,68.34,Good,68.33,Low,Low
242,Male,19,4.0,53.0,55,46,51,67,53.35,Average,50.67,Low,Moderate
243,Female,18,8.2,62.4,92,40,93,96,69.52,Good,75.0,Moderate,Very High
244,Male,21,1.0,58.0,65,61,91,53,60.71,Good,72.33,Low,Low
245,Male,21,4.0,93.6,45,42,60,74,54.27,Average,49.0,Excellent,Moderate
246,Female,19,4.6,61.0,86,99,59,81,79.22,Good,81.33,Moderate,Moderate
247,Male,20,5.8,98.8,49,91,44,99,64.41,Good,61.33,Excellent,High
248,Male,17,9.3,66.8,41,74,79,63,73.88,Good,64.67,Moderate,Very High
249,Male,20,4.1,59.1,62,48,45,84,62.03,Good,51.67,Low,Moderate
250,Male,19,4.1,89.5,85,69,87,47,78.26,Good,80.33,Good,Moderate
251,Female,21,7.6,82.9,92,82,62,35,76.38,Good,78.67,Good,High
252,Male,20,5.1,74.9,39,90,99,68,69.99,Good,76.0,Moderate,High
253,Female,21,3.0,77.8,39,83,83,82,62.72,Good,68.33,Good,Moderate
254,Male,17,5.1,86.0,42,47,81,82,60.21,Good,56.67,Good,High
255,Male,21,2.3,61.4,98,95,86,83,86.97,Excellent,93.0,Moderate,Moderate
256,Male,21,2.6,99.8,44,83,88,98,67.66,Good,71.67,Excellent,Moderate
257,Male,18,5.5,98.7,72,80,94,95,83.86,Excellent,82.0,Excellent,High
258,Female,18,4.8,82.5,42,96,91,63,71.13,Good,76.33,Good,Moderate
259,Female,22,9.2,60.0,59,42,81,73,54.67,Average,60.67,Low,Very High
260,Male,18,4.3,84.0,100,77,65,60,75.36,Good,80.67,Good,Moderate
261,Male,21,6.2,53.6,84,54,80,51,66.61,Good,72.67,Low,High
262,Female,19,6.7,51.5,83,73,60,47,75.9,Good,72.0,Low,High
263,Male,21,1.1,62.9,70,83,39,60,64.62,Good,64.0,Moderate,Low
264,Male,19,7.0,73.1,75,98,86,83,77.97,Good,86.33,Moderate,High
265,Male,19,2.6,93.4,96,96,88,41,87.08,Excellent,93.33,Excellent,Moderate
266,Female,18,9.6,86.4,44,88,67,92,65.05,Good,66.33,Good,Very High
267,Female,20,2.3,87.1,55,43,84,83,66.54,Good,60.67,Good,Moderate
268,Female,17,4.7,71.3,70,71,72,87,69.45,Good,71.0,Moderate,Moderate
269,Male,18,1.8,67.3,46,83,61,99,63.91,Good,63.33,Moderate,Low
270,Male,18,10.0,68.6,36,75,49,96,66.11,Good,53.33,Moderate,Very High
271,Female,20,5.5,99.4,47,51,95,51,58.49,Average,64.33,Excellent,High
272,Female,17,6.4,52.0,87,55,55,77,61.36,Good,65.67,Low,High
273,Female,21,1.6,93.4,66,85,80,59,70.76,Good,77.0,Excellent,Low
274,Female,22,7.7,78.9,50,93,40,37,65.84,Good,61.0,Good,High
275,Male,22,2.9,71.9,66,73,72,63,61.31,Good,70.33,Moderate,Moderate
276,Female,21,9.1,86.3,66,89,96,66,69.7,Good,83.67,Good,Very High
277,Male,18,2.8,74.3,45,75,96,60,64.48,Good,72.0,Moderate,Moderate
278,Female,17,2.7,93.7,44,73,80,50,65.38,Good,65.67,Excellent,Moderate
279,Male,18,1.3,95.0,49,47,47,59,56.7,Average,47.67,Excellent,Low
280,Female,19,5.2,71.1,51,98,37,88,63.86,Good,62.0,Moderate,High
281,Female,18,6.1,63.8,74,45,40,62,55.43,Average,53.0,Moderate,High
282,Female,18,1.6,79.6,52,53,42,90,59.63,Average,49.0,Good,Low
283,Female,21,8.0,95.6,89,45,78,99,69.53,Good,70.67,Excellent,High
284,Male,21,5.1,60.5,59,80,67,75,65.65,Good,68.67,Moderate,High
285,Female,21,5.7,81.1,93,79,84,85,84.67,Excellent,85.33,Good,High
286,Male,22,5.0,81.6,56,35,45,63,53.31,Average,45.33,Good,Moderate
287,Male,19,4.6,86.7,64,74,62,53,64.33,Good,66.67,Good,Moderate
288,Male,21,6.0,56.6,78,53,75,100,70.45,Good,68.67,Low,High
289,Male,17,2.4,85.8,66,95,50,75,60.88,Good,70.33,Good,Moderate
290,Female,22,2.6,95.5,85,46,82,79,69.52,Good,71.0,Excellent,Moderate
291,Male,20,8.8,59.0,80,95,90,49,82.76,Excellent,88.33,Low,Very High
292,Male,17,9.5,61.9,55,67,98,37,63.56,Good,73.33,Moderate,Very High
293,Male,17,4.4,98.6,66,79,93,45,74.95,Good,79.33,Excellent,Moderate
294,Female,21,3.4,59.0,73,42,96,87,69.69,Good,70.33,Low,Moderate
295,Female,20,6.8,92.7,46,59,45,80,56.85,Average,50.0,Excellent,High
296,Female,20,4.7,74.6,81,80,52,64,71.59,Good,71.0,Moderate,Moderate
297,Female,22,1.2,62.4,52,64,53,91,54.29,Average,56.33,Moderate,Low
298,Male,20,2.4,93.5,55,81,89,52,69.47,Good,75.0,Excellent,Moderate
299,Male,19,7.4,72.3,47,83,60,85,68.72,Good,63.33,Moderate,High
300,Female,21,6.9,75.7,55,81,40,82,64.6,Good,58.67,Good,High
301,Male,20,1.2,68.0,42,52,38,100,48.25,Average,44.0,Moderate,Low
302,Male,22,3.0,79.6,80,100,63,42,76.16,Good,81.0,Good,Moderate
303,Male,19,3.1,58.2,41,67,93,56,63.48,Good,67.0,Low,Moderate
304,Female,18,7.0,69.6,57,70,51,40,51.06,Average,59.33,Moderate,High
305,Female,18,1.2,98.5,56,53,77,91,69.64,Good,62.0,Excellent,Low
306,Male,19,1.9,62.9,56,62,100,70,65.19,Good,72.67,Moderate,Low
307,Female,22,8.2,82.8,63,74,68,91,74.18,Good,68.33,Good,Very High
308,Female,19,2.6,66.3,47,49,42,83,55.77,Average,46.0,Moderate,Moderate
309,Female,21,6.9,88.7,36,75,47,79,53.68,Average,52.67,Good,High
310,Female,21,3.1,56.5,63,73,42,100,59.91,Average,59.33,Low,Moderate
311,Female,18,1.9,98.5,86,36,99,79,72.15,Good,73.67,Excellent,Low
312,Male,20,3.2,72.7,61,97,77,54,69.08,Good,78.33,Moderate,Moderate
313,Female,22,7.5,61.8,84,63,73,98,82.22,Excellent,73.33,Moderate,High
314,Male,18,8.7,53.7,57,100,93,37,70.69,Good,83.33,Low,Very High
315,Male,20,8.5,58.5,78,85,78,88,76.93,Good,80.33,Low,Very High
316,Female,20,4.6,76.0,56,44,43,98,56.92,Average,47.67,Good,Moderate
317,Male,21,7.0,66.9,77,48,71,74,62.08,Good,65.33,Moderate,High
318,Male,17,2.8,91.4,71,85,70,93,74.81,Good,75.33,Excellent,Moderate
319,Male,17,3.6,71.5,95,73,62,89,78.27,Good,76.67,Moderate,Moderate
320,Female,19,9.1,62.4,90,62,76,96,76.76,Good,76.0,Moderate,Very High
321,Female,21,1.1,80.9,37,37,77,38,47.82,Average,50.33,Good,Low
322,Male,20,1.8,85.3,97,61,76,94,76.26,Good,78.0,Good,Low
323,Female,22,2.9,58.4,53,36,100,64,52.53,Average,63.0,Low,Moderate
324,Female,17,1.2,58.4,57,72,89,36,64.23,Good,72.67,Low,Low
325,Female,20,2.6,51.8,63,37,82,96,67.65,Good,60.67,Low,Moderate
326,Female,17,6.2,86.8,64,50,56,83,63.05,Good,56.67,Good,High
327,Male,17,4.8,83.2,73,74,61,43,68.52,Good,69.33,Good,Moderate
328,Male,17,9.0,73.7,59,36,47,65,57.24,Average,47.33,Moderate,Very High
329,Female,22,8.4,92.2,42,75,79,95,64.99,Good,65.33,Excellent,Very High
330,Female,21,4.1,90.3,92,46,44,82,73.99,Good,60.67,Excellent,Moderate
